"1882","101","62","2017-06-29","20:58:00"
"1883","101","42","2017-06-29","21:03:00"
"1884","101","132","2017-06-29","21:08:00"
"1885","101","2","2017-06-29","14:51:00"
"1886","101","92","2017-06-29","14:55:00"
"1887","101","52","2017-06-29","15:00:00"
"1888","101","62","2017-06-29","15:03:00"
"1889","101","42","2017-06-29","15:08:00"
"1890","101","122","2017-06-29","15:12:00"
"1891","101","132","2017-06-29","15:17:00"
"1892","100101","22","2017-06-29","16:09:00"
"1893","100101","22","2017-06-29","16:09:00"
"1894","100101","12","2017-06-29","16:14:00"
"1895","100101","12","2017-06-29","16:14:00"
"1896","100101","32","2017-06-29","16:20:00"
"1897","100101","32","2017-06-29","16:20:00"
"1898","100101","72","2017-06-29","16:25:00"
"1899","100101","72","2017-06-29","16:25:00"
"1900","100101","82","2017-06-29","16:28:00"
"1901","100101","82","2017-06-29","16:28:00"
"1902","100101","112","2017-06-29","16:34:00"
"1903","100101","112","2017-06-29","16:34:00"
"1904","100101","102","2017-06-29","16:38:00"
"1905","100101","102","2017-06-29","16:38:00"
"1906","100101","152","2017-06-29","16:42:00"
"1907","100101","152","2017-06-29","16:42:00"
"1908","100101","152","2017-06-29","16:45:00"
"1909","101","42","2017-07-03","12:49:00"
"1910","101","2","2017-07-03","12:58:00"
"1911","101","92","2017-07-03","13:02:00"
"1912","101","132","2017-07-03","13:08:00"
"1913","101","142","2017-07-04","12:33:00"
"1914","101","92","2017-07-04","12:37:00"
"1915","101","42","2017-07-04","12:42:00"
"1916","101","2","2017-07-04","12:47:00"
"1917","101","132","2017-07-04","12:53:00"
"1918","101","122","2017-07-04","12:57:00"
"1919","101","62","2017-07-04","13:15:00"
"1920","101","52","2017-07-04","13:20:00"
"1921","101","52","2017-07-04","13:26:00"
"1922","101","52","2017-07-04","13:36:00"
"1923","100100","99","2017-07-09","20:41:00"
"1924","100101","22","2017-07-14","12:28:00"
"1925","100101","32","2017-07-14","12:33:00"
"1926","100101","82","2017-07-14","12:36:00"
"1927","100101","12","2017-07-14","12:41:00"
"1928","100100","52","2017-07-14","18:43:00"
"1929","100100","62","2017-07-14","18:47:00"
"1930","100100","92","2017-07-14","18:51:00"
"1931","100100","142","2017-07-14","18:54:00"
"1932","100100","2","2017-07-14","18:59:00"
"1933","100100","132","2017-07-14","19:04:00"
"1934","100100","132","2017-07-15","20:57:00"
"1935","100100","92","2017-07-15","21:01:00"
"1936","100100","52","2017-07-15","21:06:00"
"1937","100100","142","2017-07-15","21:09:00"
"1938","100100","92","2017-07-15","21:13:00"
"1939","100100","132","2017-07-15","23:26:00"
"1940","100100","52","2017-07-15","23:31:00"
"1941","100100","62","2017-07-15","23:37:00"
"1942","100100","2","2017-07-15","23:42:00"
"1943","100100","42","2017-07-15","23:47:00"
"1944","100100","142","2017-07-15","23:51:00"
"1945","100100","92","2017-07-15","23:55:00"
"1946","100100","52","2017-07-15","00:00:00"
"1947","100100","52","2017-07-15","12:08:00"
"1948","100100","42","2017-07-15","12:13:00"
"1949","100100","2","2017-07-15","12:18:00"
"1950","100100","62","2017-07-15","12:21:00"
"1951","100100","142","2017-07-15","12:39:00"
"1952","100100","42","2017-07-15","12:44:00"
"1953","100100","2","2017-07-15","12:49:00"
"1954","100100","42","2017-07-16","18:18:00"
